1.000000000000000000e+01,5.999999999999999778e-01,6.999999999999999556e-01,9.000000000000000222e-01,6.999999999999999556e-01,6.999999999999999556e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,5.000000000000000000e-01,5.000000000000000000e-01
1.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,9.000000000000000222e-01,6.999999999999999556e-01
1.000000000000000000e+01,9.000000000000000222e-01,9.000000000000000222e-01,9.000000000000000222e-01,9.000000000000000222e-01,9.000000000000000222e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,6.999999999999999556e-01,5.999999999999999778e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01
1.000000000000000000e+01,8.000000000000000444e-01,5.999999999999999778e-01,8.000000000000000444e-01,5.999999999999999778e-01,5.000000000000000000e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01,5.999999999999999778e-01,5.999999999999999778e-01
1.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,9.000000000000000222e-01,8.000000000000000444e-01,8.000000000000000444e-01
1.000000000000000000e+01,6.999999999999999556e-01,5.000000000000000000e-01,5.000000000000000000e-01,6.999999999999999556e-01,6.999999999999999556e-01
1.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,6.999999999999999556e-01,6.999999999999999556e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,9.000000000000000222e-01,9.000000000000000222e-01
1.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,6.999999999999999556e-01,8.000000000000000444e-01,5.000000000000000000e-01
1.000000000000000000e+01,6.999999999999999556e-01,5.999999999999999778e-01,6.999999999999999556e-01,5.999999999999999778e-01,6.999999999999999556e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,5.000000000000000000e-01,6.999999999999999556e-01
1.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01
1.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,5.000000000000000000e-01,5.000000000000000000e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01,6.999999999999999556e-01
1.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,6.999999999999999556e-01,6.999999999999999556e-01
1.000000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e-01,8.000000000000000444e-01,5.000000000000000000e-01,6.999999999999999556e-01
1.000000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.999999999999999778e-01,5.999999999999999778e-01
1.000000000000000000e+01,9.000000000000000222e-01,9.000000000000000222e-01,1.000000000000000000e+00,8.000000000000000444e-01,5.999999999999999778e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01,5.999999999999999778e-01,5.999999999999999778e-01
1.000000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
1.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01
1.000000000000000000e+01,8.000000000000000444e-01,9.000000000000000222e-01,1.000000000000000000e+00,5.000000000000000000e-01,6.999999999999999556e-01
1.000000000000000000e+01,5.999999999999999778e-01,8.000000000000000444e-01,9.000000000000000222e-01,5.999999999999999778e-01,5.999999999999999778e-01
1.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,5.999999999999999778e-01,9.000000000000000222e-01
1.000000000000000000e+01,9.000000000000000222e-01,8.000000000000000444e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.000000000000000222e-01
1.000000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e-01,8.000000000000000444e-01,5.999999999999999778e-01,5.000000000000000000e-01
1.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,9.000000000000000222e-01,8.000000000000000444e-01
1.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,9.000000000000000222e-01,6.999999999999999556e-01,5.999999999999999778e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,6.999999999999999556e-01,6.999999999999999556e-01,5.000000000000000000e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,6.999999999999999556e-01,5.999999999999999778e-01
1.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.000000000000000222e-01,8.000000000000000444e-01
1.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000444e-01,8.000000000000000444e-01
1.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,5.999999999999999778e-01,5.000000000000000000e-01
1.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,6.999999999999999556e-01,6.999999999999999556e-01,5.000000000000000000e-01
1.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,9.000000000000000222e-01,5.999999999999999778e-01,9.000000000000000222e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,5.000000000000000000e-01,5.999999999999999778e-01,5.999999999999999778e-01
1.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01
1.000000000000000000e+01,8.000000000000000444e-01,9.000000000000000222e-01,9.000000000000000222e-01,6.999999999999999556e-01,6.999999999999999556e-01
1.000000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.999999999999999778e-01,5.000000000000000000e-01
1.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,9.000000000000000222e-01,6.999999999999999556e-01,5.999999999999999778e-01
1.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,5.000000000000000000e-01,6.999999999999999556e-01,6.999999999999999556e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,9.000000000000000222e-01,5.999999999999999778e-01,5.999999999999999778e-01
1.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,6.999999999999999556e-01,6.999999999999999556e-01,6.999999999999999556e-01
1.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,5.999999999999999778e-01,6.999999999999999556e-01,5.999999999999999778e-01
1.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,9.000000000000000222e-01,6.999999999999999556e-01,5.999999999999999778e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,5.000000000000000000e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01,5.000000000000000000e-01,8.000000000000000444e-01
1.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,5.999999999999999778e-01,5.999999999999999778e-01
1.000000000000000000e+01,9.000000000000000222e-01,9.000000000000000222e-01,9.000000000000000222e-01,5.000000000000000000e-01,5.000000000000000000e-01
1.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,5.999999999999999778e-01,6.999999999999999556e-01,6.999999999999999556e-01
1.000000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e-01,8.000000000000000444e-01,5.000000000000000000e-01,5.000000000000000000e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,5.000000000000000000e-01,5.999999999999999778e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,6.999999999999999556e-01,5.999999999999999778e-01,5.999999999999999778e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,6.999999999999999556e-01
1.000000000000000000e+01,9.000000000000000222e-01,9.000000000000000222e-01,9.000000000000000222e-01,9.000000000000000222e-01,5.000000000000000000e-01
1.000000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e-01,5.999999999999999778e-01,5.000000000000000000e-01,5.999999999999999778e-01
1.000000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.999999999999999778e-01,5.999999999999999778e-01
1.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,5.000000000000000000e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01
1.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,6.999999999999999556e-01,6.999999999999999556e-01,5.999999999999999778e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.000000000000000000e-01,5.999999999999999778e-01,6.999999999999999556e-01,5.999999999999999778e-01
1.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,9.000000000000000222e-01,8.000000000000000444e-01,5.000000000000000000e-01
1.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,6.999999999999999556e-01,6.999999999999999556e-01,6.999999999999999556e-01
1.000000000000000000e+01,9.000000000000000222e-01,9.000000000000000222e-01,8.000000000000000444e-01,9.000000000000000222e-01,9.000000000000000222e-01
1.000000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e-01,8.000000000000000444e-01,5.000000000000000000e-01,5.000000000000000000e-01
1.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,9.000000000000000222e-01,6.999999999999999556e-01,6.999999999999999556e-01
1.000000000000000000e+01,8.000000000000000444e-01,6.999999999999999556e-01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01
1.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,6.999999999999999556e-01,8.000000000000000444e-01,5.999999999999999778e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,5.000000000000000000e-01,5.000000000000000000e-01
1.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,5.999999999999999778e-01,6.999999999999999556e-01,5.999999999999999778e-01
1.000000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e-01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01
1.000000000000000000e+01,8.000000000000000444e-01,9.000000000000000222e-01,9.000000000000000222e-01,8.000000000000000444e-01,6.999999999999999556e-01
1.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01
1.000000000000000000e+01,9.000000000000000222e-01,9.000000000000000222e-01,9.000000000000000222e-01,8.000000000000000444e-01,8.000000000000000444e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,6.999999999999999556e-01,5.000000000000000000e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,5.000000000000000000e-01,5.999999999999999778e-01
1.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,6.999999999999999556e-01,6.999999999999999556e-01,6.999999999999999556e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,6.999999999999999556e-01,5.999999999999999778e-01,6.999999999999999556e-01
1.000000000000000000e+01,5.000000000000000000e-01,6.999999999999999556e-01,6.999999999999999556e-01,5.999999999999999778e-01,5.000000000000000000e-01
1.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,5.000000000000000000e-01,5.999999999999999778e-01
2.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,6.500000000000000222e-01,6.999999999999999556e-01,6.500000000000000222e-01
2.000000000000000000e+01,5.500000000000000444e-01,5.500000000000000444e-01,5.500000000000000444e-01,5.500000000000000444e-01,5.500000000000000444e-01
2.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,6.999999999999999556e-01,8.000000000000000444e-01
2.000000000000000000e+01,7.500000000000000000e-01,8.499999999999999778e-01,8.499999999999999778e-01,7.500000000000000000e-01,5.500000000000000444e-01
2.000000000000000000e+01,9.499999999999999556e-01,8.499999999999999778e-01,8.000000000000000444e-01,6.999999999999999556e-01,5.000000000000000000e-01
2.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,8.000000000000000444e-01,6.500000000000000222e-01,6.500000000000000222e-01
2.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,7.500000000000000000e-01,5.999999999999999778e-01,6.500000000000000222e-01
2.000000000000000000e+01,8.499999999999999778e-01,9.000000000000000222e-01,8.499999999999999778e-01,6.999999999999999556e-01,5.999999999999999778e-01
2.000000000000000000e+01,6.500000000000000222e-01,5.999999999999999778e-01,6.500000000000000222e-01,5.999999999999999778e-01,5.500000000000000444e-01
2.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,9.000000000000000222e-01,5.999999999999999778e-01,5.000000000000000000e-01
2.000000000000000000e+01,8.499999999999999778e-01,6.999999999999999556e-01,9.000000000000000222e-01,5.000000000000000000e-01,7.500000000000000000e-01
2.000000000000000000e+01,5.500000000000000444e-01,5.999999999999999778e-01,5.999999999999999778e-01,5.500000000000000444e-01,5.500000000000000444e-01
2.000000000000000000e+01,5.000000000000000000e-01,5.500000000000000444e-01,5.500000000000000444e-01,5.500000000000000444e-01,5.500000000000000444e-01
2.000000000000000000e+01,6.999999999999999556e-01,5.999999999999999778e-01,8.499999999999999778e-01,5.999999999999999778e-01,5.500000000000000444e-01
2.000000000000000000e+01,9.000000000000000222e-01,9.000000000000000222e-01,9.000000000000000222e-01,5.999999999999999778e-01,5.000000000000000000e-01
2.000000000000000000e+01,5.999999999999999778e-01,5.000000000000000000e-01,6.500000000000000222e-01,5.999999999999999778e-01,5.999999999999999778e-01
2.000000000000000000e+01,7.500000000000000000e-01,7.500000000000000000e-01,1.000000000000000000e+00,7.500000000000000000e-01,8.000000000000000444e-01
2.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,8.499999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01
2.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,6.500000000000000222e-01,5.999999999999999778e-01,6.500000000000000222e-01
2.000000000000000000e+01,5.500000000000000444e-01,5.500000000000000444e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.500000000000000444e-01
2.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,9.000000000000000222e-01,8.000000000000000444e-01,8.000000000000000444e-01
2.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,6.500000000000000222e-01,5.999999999999999778e-01
2.000000000000000000e+01,5.999999999999999778e-01,8.499999999999999778e-01,9.499999999999999556e-01,5.500000000000000444e-01,5.000000000000000000e-01
2.000000000000000000e+01,8.499999999999999778e-01,9.499999999999999556e-01,9.499999999999999556e-01,8.499999999999999778e-01,8.499999999999999778e-01
2.000000000000000000e+01,5.500000000000000444e-01,5.500000000000000444e-01,6.500000000000000222e-01,5.000000000000000000e-01,5.999999999999999778e-01
2.000000000000000000e+01,7.500000000000000000e-01,7.500000000000000000e-01,5.999999999999999778e-01,6.999999999999999556e-01,5.500000000000000444e-01
2.000000000000000000e+01,5.500000000000000444e-01,5.999999999999999778e-01,5.000000000000000000e-01,5.500000000000000444e-01,7.500000000000000000e-01
2.000000000000000000e+01,5.999999999999999778e-01,6.500000000000000222e-01,8.000000000000000444e-01,6.500000000000000222e-01,6.500000000000000222e-01
2.000000000000000000e+01,6.500000000000000222e-01,6.500000000000000222e-01,6.500000000000000222e-01,5.999999999999999778e-01,5.500000000000000444e-01
2.000000000000000000e+01,9.000000000000000222e-01,9.000000000000000222e-01,1.000000000000000000e+00,6.500000000000000222e-01,5.000000000000000000e-01
2.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,9.499999999999999556e-01,5.500000000000000444e-01,5.500000000000000444e-01
2.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,6.500000000000000222e-01
2.000000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e-01,5.999999999999999778e-01,5.500000000000000444e-01,5.500000000000000444e-01
2.000000000000000000e+01,6.999999999999999556e-01,7.500000000000000000e-01,6.500000000000000222e-01,7.500000000000000000e-01,8.000000000000000444e-01
2.000000000000000000e+01,9.000000000000000222e-01,9.000000000000000222e-01,9.000000000000000222e-01,6.500000000000000222e-01,5.500000000000000444e-01
2.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,5.500000000000000444e-01,5.500000000000000444e-01
2.000000000000000000e+01,5.500000000000000444e-01,6.999999999999999556e-01,6.500000000000000222e-01,6.500000000000000222e-01,5.999999999999999778e-01
2.000000000000000000e+01,6.999999999999999556e-01,8.000000000000000444e-01,9.000000000000000222e-01,6.999999999999999556e-01,5.999999999999999778e-01
2.000000000000000000e+01,8.499999999999999778e-01,8.499999999999999778e-01,9.499999999999999556e-01,6.500000000000000222e-01,9.000000000000000222e-01
2.000000000000000000e+01,5.500000000000000444e-01,5.500000000000000444e-01,5.999999999999999778e-01,5.500000000000000444e-01,5.000000000000000000e-01
2.000000000000000000e+01,6.500000000000000222e-01,6.500000000000000222e-01,8.000000000000000444e-01,5.500000000000000444e-01,5.999999999999999778e-01
2.000000000000000000e+01,5.500000000000000444e-01,5.500000000000000444e-01,8.000000000000000444e-01,6.500000000000000222e-01,5.999999999999999778e-01
2.000000000000000000e+01,7.500000000000000000e-01,9.499999999999999556e-01,1.000000000000000000e+00,8.000000000000000444e-01,7.500000000000000000e-01
2.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,7.500000000000000000e-01,6.999999999999999556e-01,7.500000000000000000e-01
2.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,8.499999999999999778e-01,7.500000000000000000e-01,5.500000000000000444e-01
2.000000000000000000e+01,5.500000000000000444e-01,5.500000000000000444e-01,5.500000000000000444e-01,5.000000000000000000e-01,5.500000000000000444e-01
2.000000000000000000e+01,5.999999999999999778e-01,5.500000000000000444e-01,5.999999999999999778e-01,5.999999999999999778e-01,5.500000000000000444e-01
2.000000000000000000e+01,5.999999999999999778e-01,7.500000000000000000e-01,7.500000000000000000e-01,6.999999999999999556e-01,5.500000000000000444e-01
2.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,9.000000000000000222e-01,5.000000000000000000e-01,5.500000000000000444e-01
2.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,8.499999999999999778e-01,6.500000000000000222e-01,5.999999999999999778e-01
2.000000000000000000e+01,6.999999999999999556e-01,7.500000000000000000e-01,8.499999999999999778e-01,6.500000000000000222e-01,6.999999999999999556e-01
2.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,6.999999999999999556e-01,7.500000000000000000e-01,6.500000000000000222e-01
2.000000000000000000e+01,6.500000000000000222e-01,6.500000000000000222e-01,7.500000000000000000e-01,5.999999999999999778e-01,5.999999999999999778e-01
2.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,7.500000000000000000e-01,6.500000000000000222e-01,7.500000000000000000e-01
2.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,9.000000000000000222e-01,5.999999999999999778e-01,5.500000000000000444e-01
2.000000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
2.000000000000000000e+01,5.500000000000000444e-01,5.000000000000000000e-01,6.500000000000000222e-01,5.500000000000000444e-01,7.500000000000000000e-01
2.000000000000000000e+01,5.500000000000000444e-01,5.500000000000000444e-01,5.999999999999999778e-01,8.499999999999999778e-01,7.500000000000000000e-01
2.000000000000000000e+01,5.999999999999999778e-01,6.999999999999999556e-01,8.000000000000000444e-01,8.000000000000000444e-01,6.999999999999999556e-01
2.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,6.500000000000000222e-01,8.000000000000000444e-01,6.500000000000000222e-01
2.000000000000000000e+01,6.999999999999999556e-01,5.000000000000000000e-01,8.000000000000000444e-01,6.500000000000000222e-01,5.999999999999999778e-01
2.000000000000000000e+01,5.999999999999999778e-01,6.999999999999999556e-01,8.499999999999999778e-01,5.000000000000000000e-01,5.500000000000000444e-01
2.000000000000000000e+01,8.499999999999999778e-01,8.499999999999999778e-01,8.499999999999999778e-01,8.499999999999999778e-01,6.999999999999999556e-01
2.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,5.500000000000000444e-01,8.000000000000000444e-01
2.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,9.000000000000000222e-01,5.999999999999999778e-01,5.500000000000000444e-01
2.000000000000000000e+01,5.500000000000000444e-01,5.500000000000000444e-01,5.500000000000000444e-01,5.999999999999999778e-01,6.999999999999999556e-01
2.000000000000000000e+01,7.500000000000000000e-01,7.500000000000000000e-01,7.500000000000000000e-01,6.500000000000000222e-01,6.999999999999999556e-01
2.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,7.500000000000000000e-01,6.500000000000000222e-01,6.999999999999999556e-01
2.000000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e-01,8.000000000000000444e-01,5.999999999999999778e-01,5.500000000000000444e-01
2.000000000000000000e+01,6.999999999999999556e-01,7.500000000000000000e-01,9.000000000000000222e-01,8.000000000000000444e-01,8.499999999999999778e-01
2.000000000000000000e+01,5.000000000000000000e-01,5.999999999999999778e-01,5.999999999999999778e-01,5.500000000000000444e-01,5.500000000000000444e-01
2.000000000000000000e+01,7.500000000000000000e-01,7.500000000000000000e-01,8.499999999999999778e-01,7.500000000000000000e-01,8.499999999999999778e-01
2.000000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.999999999999999778e-01,5.999999999999999778e-01
2.000000000000000000e+01,7.500000000000000000e-01,8.499999999999999778e-01,8.499999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
2.000000000000000000e+01,6.500000000000000222e-01,6.500000000000000222e-01,8.499999999999999778e-01,5.500000000000000444e-01,5.500000000000000444e-01
2.000000000000000000e+01,7.500000000000000000e-01,7.500000000000000000e-01,9.000000000000000222e-01,6.500000000000000222e-01,7.500000000000000000e-01
2.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,7.500000000000000000e-01,6.999999999999999556e-01,6.999999999999999556e-01
2.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01,5.500000000000000444e-01,5.999999999999999778e-01
2.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,7.500000000000000000e-01,5.999999999999999778e-01,6.500000000000000222e-01
2.000000000000000000e+01,5.999999999999999778e-01,5.999999999999999778e-01,8.499999999999999778e-01,5.999999999999999778e-01,5.999999999999999778e-01
2.000000000000000000e+01,6.500000000000000222e-01,6.500000000000000222e-01,5.500000000000000444e-01,5.000000000000000000e-01,7.500000000000000000e-01
2.000000000000000000e+01,9.000000000000000222e-01,9.000000000000000222e-01,8.499999999999999778e-01,7.500000000000000000e-01,8.499999999999999778e-01
2.000000000000000000e+01,6.500000000000000222e-01,6.500000000000000222e-01,6.999999999999999556e-01,5.500000000000000444e-01,5.999999999999999778e-01
2.000000000000000000e+01,8.000000000000000444e-01,8.000000000000000444e-01,8.499999999999999778e-01,5.999999999999999778e-01,5.500000000000000444e-01
2.000000000000000000e+01,9.000000000000000222e-01,9.000000000000000222e-01,9.000000000000000222e-01,6.500000000000000222e-01,9.499999999999999556e-01
2.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,7.500000000000000000e-01,6.500000000000000222e-01,6.999999999999999556e-01
2.000000000000000000e+01,6.500000000000000222e-01,6.500000000000000222e-01,7.500000000000000000e-01,6.999999999999999556e-01,5.999999999999999778e-01
2.000000000000000000e+01,9.000000000000000222e-01,9.000000000000000222e-01,9.499999999999999556e-01,8.000000000000000444e-01,8.499999999999999778e-01
2.000000000000000000e+01,5.500000000000000444e-01,5.500000000000000444e-01,6.999999999999999556e-01,6.500000000000000222e-01,6.500000000000000222e-01
2.000000000000000000e+01,6.500000000000000222e-01,5.999999999999999778e-01,8.000000000000000444e-01,5.000000000000000000e-01,5.500000000000000444e-01
2.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,8.499999999999999778e-01,5.000000000000000000e-01,6.999999999999999556e-01
2.000000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e-01,7.500000000000000000e-01,5.000000000000000000e-01,7.500000000000000000e-01
2.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,8.000000000000000444e-01,6.999999999999999556e-01,6.999999999999999556e-01
2.000000000000000000e+01,6.999999999999999556e-01,6.999999999999999556e-01,8.000000000000000444e-01,5.999999999999999778e-01,5.500000000000000444e-01
